STATE_CODE,SHRP_ID,YEAR,AGE,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,MRI_BEFORE,MRI_AFTER,MAINTENANCE,DAYS_SINCE_MAINTENANCE,Added_Thickness,AADTT
4,6060,1997,31,210.8,False,False,False,464.8,0.7780000001192093,0.5022000014781952,Mill Off AC and Overlay with AC ,70,-5.0,8270
4,C310,1992,17,259.0,False,False,False,543.5,0.9892999947071076,1.0595000088214874,Machine Premix Patch (placing premix with paver roller),55,0.0,5353
4,C320,1992,17,205.7,False,False,False,490.2,1.860583355029424,2.3186000227928165,Machine Premix Patch (placing premix with paver roller),55,0.0,5353
4,C330,1992,17,226.1,False,False,False,510.6,1.4736000061035155,1.5295000076293943,Machine Premix Patch (placing premix with paver roller),55,0.0,5353
4,D320,1990,12,256.5,False,False,False,426.7,1.712399995326996,2.4624000072479246,Machine Premix Patch (placing premix with paver roller),257,0.0,2491
5,0113,2004,12,101.6,False,False,False,307.29999999999995,1.084799998998642,1.1931999981403352,Crack Sealing,344,0.0,9416
5,0113,2005,13,101.6,False,False,False,307.3,1.1931999981403352,1.187200003862381,Manual Premix Spot Patch (hand spreading and compacting with roller),341,0.0,10468
5,0114,2004,12,175.29999999999998,False,False,False,454.7,0.9372999966144562,1.0733000338077543,Crack Sealing,344,0.0,9416
5,0115,2004,12,177.8,False,True,False,365.8,0.9885999977588652,1.0849000215530396,Crack Sealing,344,0.0,9416
5,0115,2005,13,177.8,False,True,False,365.8,1.0849000215530396,1.0379000067710875,Manual Premix Spot Patch (hand spreading and compacting with roller),341,0.0,10468
5,0116,2004,12,104.1,False,True,False,403.8,1.035800004005432,1.0435999929904938,Manual Premix Spot Patch (hand spreading and compacting with roller),295,0.0,9416
5,0116,2005,13,104.1,False,True,False,403.8,1.0435999929904938,1.1215999960899352,Manual Premix Spot Patch (hand spreading and compacting with roller),341,0.0,10468
5,0117,2004,12,175.3,False,True,False,378.5,1.0523000061511991,1.1019000232219696,Crack Sealing,344,0.0,9416
5,0118,2004,12,104.2,False,True,False,393.8,0.988999992609024,0.944299989938736,"Crack Sealing, Patch Pot Holes - Hand Spread, Compacted with Truck",345,0.0,9416
5,0122,2004,12,111.7,True,True,False,307.2,0.9572999835014344,1.0258000016212463,Crack Sealing,345,0.0,9416
5,0123,2004,12,182.9,True,True,False,482.6,0.9566000044345856,1.0184000074863433,Crack Sealing,345,0.0,9416
5,0124,2004,12,175.2,True,True,False,553.6,1.0899000108242034,1.167600017786026,Crack Sealing,345,0.0,9416
5,2042,1991,20,132.1,False,True,False,299.7,2.977199959754944,3.4977999448776247,Manual Premix Spot Patch (hand spreading and compacting with roller),116,0.0,3544
5,2042,1993,22,132.1,False,True,False,299.7,3.4977999448776247,1.0634999930858613,Mill Off AC and Overlay with AC ,355,40.7,3841
