STATE_CODE,SHRP_ID,CONSTRUCTION_NO_AFTER,CONSTRUCTION_NO_BEFORE,MRI_BEFORE,MRI_BEFORE_DATE,MRI_AFTER,MRI_AFTER_DATE,CN_ASSIGN_DATE,MAINTENANCE,DAYS_SINCE_MAINTENANCE,YEAR,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,Added_Thickness,CONSTRUCTION_NO,AADTT,AGE
12,0566,2,1,1.245800006389618,1994-05-25,0.5546999990940094,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Off AC and Overlay with AC ",212,1994,83.8,False,False,False,767.0,73.7,1,9139,23
12,0566,3,2,0.6355000078678131,2013-09-13,0.5874000012874603,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,157.5,False,False,False,840.7,5.0,2,13300,42
12,1030,2,1,1.167300021648407,1992-06-22,1.089699995517731,1994-05-26,1993-06-15,AC Shoulder Replacement,345,1992,83.8,False,False,False,767.0,0.0,1,8928,21
12,1030,3,2,2.3743999719619757,2013-09-13,0.6586000025272369,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,83.8,False,False,False,767.0,5.1,2,13300,42
12,1370,4,2,1.4722000002861022,1998-02-04,2.420899987220764,2000-04-17,1999-09-15,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",215,1998,43.2,False,False,False,690.9,0.0,2,2416,25
12,4101,2,1,2.2210999965667724,1991-05-20,0.5224000066518784,1992-06-24,1991-07-31,Asphalt Concrete Overlay,329,1991,30.5,False,False,False,619.8,114.3,1,756,24
12,4106,2,1,1.0326000094413756,2002-10-28,0.8869999945163727,2004-04-08,2003-11-15,"Surface Treatment, Single Layer, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",145,2002,208.3,False,False,False,810.3,7.6,1,23902,15
12,4135,3,1,2.0188000202178955,1991-05-21,0.5220999985933303,1992-06-23,1992-06-15,"Surface Treatment, Single Layer",8,1991,40.6,False,False,False,480.0,10.2,1,19832,20
12,4136,3,1,3.134600019454956,1991-05-21,0.5986000061035156,1992-06-25,1992-06-15,"Surface Treatment, Single Layer",10,1991,53.3,False,False,False,551.1,10.2,1,21226,20
12,4137,3,1,1.7452000260353089,1991-05-21,0.4483999997377396,1992-06-25,1992-06-15,"Surface Treatment, Single Layer",10,1991,68.6,False,False,False,751.8000000000001,12.7,1,39492,20
12,4154,4,2,1.5871999859809875,1990-07-16,1.857099986076355,1991-07-04,1991-05-15,Manual Premix Spot Patch (hand spreading and compacting with roller),50,1990,30.5,False,False,False,251.5,0.0,2,4706,20
12,4154,6,4,1.9985999941825867,1992-07-21,1.8932000160217288,1994-09-05,1993-09-15,Manual Premix Spot Patch (hand spreading and compacting with roller),355,1992,30.5,False,False,False,251.5,0.0,4,4892,22
12,4154,8,6,1.8932000160217288,1994-09-05,2.598399984836578,1996-06-28,1996-04-15,"Manual Premix Spot Patch (hand spreading and compacting with roller), Machine Premix Patch (placing premix with paver roller)",74,1994,30.5,False,False,False,251.5,0.0,6,5127,24
12,A320,2,1,0.7185999989509582,1990-06-19,0.8988999962806702,1991-07-02,1990-08-13,Slurry Seal Coat,323,1990,61.0,False,False,False,619.8,5.1,1,2823,16
12,A330,2,1,0.8702000021934508,1990-06-19,0.9040000021457671,1991-07-02,1990-08-12,Crack Sealing,324,1990,66.0,False,False,False,624.8,0.0,1,2823,16
12,A350,2,1,0.9785000085830688,1990-06-19,1.0607000052928923,1991-07-02,1990-08-13,Aggregate Seal Coat,323,1990,63.5,False,False,False,622.3,7.6,1,2823,16
12,A351,2,1,0.9041999936103822,1990-06-19,1.036900007724762,1991-07-02,1991-04-12,"Surface Treatment, Double Layer ",81,1990,63.5,False,False,False,622.3,10.2,1,2823,16
12,A352,2,1,0.8835000038146972,1990-06-19,0.9739000022411346,1991-07-02,1991-02-19,Aggregate Seal Coat,133,1990,63.5,False,False,False,622.3,5.1,1,2823,16
12,B310,2,1,0.9489000022411348,1990-06-20,0.8570000052452087,1991-07-03,1991-02-19,Asphalt Concrete Overlay,134,1990,78.7,False,False,False,754.3000000000001,30.5,1,8639,16
12,B320,2,1,1.0104999899864198,1990-06-20,1.176599991321564,1991-07-03,1990-08-16,Slurry Seal Coat,321,1990,83.8,False,False,False,759.4,7.6,1,8639,16
12,B321,2,1,0.9009999930858612,1990-06-20,0.8069000005722047,1991-07-03,1991-03-25,Slurry Seal Coat,100,1990,78.7,False,False,False,754.3000000000001,10.2,1,8639,16
12,B330,2,1,0.9758000075817108,1990-06-20,1.028600013256073,1991-07-03,1990-08-16,Crack Sealing,321,1990,78.7,False,False,False,754.3,0.0,1,8639,16
12,B350,2,1,1.2705000042915344,1990-06-20,1.2488999962806702,1991-07-03,1990-08-16,Aggregate Seal Coat,321,1990,81.3,False,False,False,756.9,10.2,1,8639,16
12,B351,2,1,0.9098999977111816,1990-06-20,1.0023000061511993,1991-07-03,1991-03-12,"Surface Treatment, Double Layer ",113,1990,86.4,False,False,False,762.0,12.7,1,8639,16
12,B352,2,1,0.8541000008583068,1990-06-20,0.9675999879837036,1991-07-03,1991-03-15,Aggregate Seal Coat,110,1990,83.8,False,False,False,759.4,2.5,1,8639,16
